date,trueNum,p_true,rank,brier,observationsUsed
1970-05-14,629,0.0009591896116593005,485,0.9991859412650212,137
1970-05-21,535,0.0013080226720575858,161,0.9984883803939818,138
1970-05-21,939,0.0011379040673232543,263,0.9988312830360566,139
1970-05-21,746,0.0008430409356725142,617,0.9994222443644698,140
1970-05-21,860,0.0011701423486713664,247,0.9987665373829481,141
1970-05-21,523,0.0007427994858724227,766,0.9996230733145055,142
1970-05-21,610,0.0013355815577820549,160,0.9984365014707012,143
1970-05-21,615,0.0009282651064570456,497,0.9992514852084029,144
1970-05-28,420,0.0025630002554917156,3,0.9959818787286024,145
1970-05-28,755,0.0011443363855148615,270,0.9988265589504304,146
1970-05-28,753,0.0006665463222930934,871,0.9997835010944991,147
1970-05-28,208,0.0008348492521243125,627,0.9994440029679583,148
