date,trueNum,p_true,rank,brier,observationsUsed
1970-01-09,517,0.0006456605859590933,870,1.0000001637803244,5
1970-01-09,745,0.0007411585176441351,700,0.9997620767117521,6
1970-01-09,854,0.0017177740752651206,96,0.9977921704624232,7
1970-01-09,600,0.000667499510092104,795,0.9999667841509582,8
1970-01-09,255,0.0022450663087468796,31,0.9967758936413226,9
1970-01-09,122,0.0008700495049504989,361,0.9995978470248015,10
1970-01-09,320,0.0008184989411901569,442,0.9996867308877588,11
1970-01-09,044,0.0009636428968085461,377,0.9993784492291538,12
1970-01-09,124,0.0024661321128931967,24,0.9963797622397792,13
1970-01-09,294,0.0015058281284242784,122,0.9983623202598514,14
1970-01-09,745,0.0018492216748768435,79,0.9977250747589375,15
1970-01-09,475,0.000719709052071721,558,0.999987078560053,16
